央视频道,#genre#
CCTV1,http://110.183.49.185:808/hls/1/index.m3u8
CCTV2,http://110.183.49.185:808/hls/2/index.m3u8
CCTV3,http://110.183.49.185:808/hls/3/index.m3u8
CCTV4,http://110.183.49.185:808/hls/4/index.m3u8
CCTV5,http://110.183.49.185:808/hls/5/index.m3u8
CCTV6,http://110.183.49.185:808/hls/6/index.m3u8
CCTV7,http://110.183.49.185:808/hls/7/index.m3u8
CCTV8,http://110.183.49.185:808/hls/8/index.m3u8
CCTV9,http://110.183.49.185:808/hls/9/index.m3u8
CCTV10,http://110.183.49.185:808/hls/10/index.m3u8
CCTV11,http://110.183.49.185:808/hls/11/index.m3u8
CCTV12,http://110.183.49.185:808/hls/12/index.m3u8
CCTV13,http://110.183.49.185:808/hls/13/index.m3u8
CCTV14,http://110.183.49.185:808/hls/14/index.m3u8
CCTV15,http://110.183.49.185:808/hls/15/index.m3u8
CCTV5+,http://110.183.49.185:808/hls/55/index.m3u8
卫视频道,#genre#
黑龙江卫视,http://110.183.49.185:808/hls/36/index.m3u8
吉林卫视,http://110.183.49.185:808/hls/45/index.m3u8
辽宁卫视,http://110.183.49.185:808/hls/23/index.m3u8
内蒙古卫视,http://110.183.49.185:808/hls/48/index.m3u8
北京卫视,http://110.183.49.185:808/hls/27/index.m3u8
天津卫视,http://110.183.49.185:808/hls/44/index.m3u8
河北卫视,http://110.183.49.185:808/hls/50/index.m3u8
河南卫视,http://110.183.49.185:808/hls/40/index.m3u8
山东卫视,http://110.183.49.185:808/hls/39/index.m3u8
山西卫视,http://110.183.49.185:808/hls/53/index.m3u8
东方卫视,http://110.183.49.185:808/hls/22/index.m3u8
浙江卫视,http://110.183.49.185:808/hls/24/index.m3u8
江苏卫视,http://110.183.49.185:808/hls/26/index.m3u8
江西卫视,http://110.183.49.185:808/hls/42/index.m3u8
东南卫视,http://110.183.49.185:808/hls/28/index.m3u8
广东卫视,http://110.183.49.185:808/hls/33/index.m3u8
广西卫视,http://110.183.49.185:808/hls/34/index.m3u8
安徽卫视,http://110.183.49.185:808/hls/25/index.m3u8
湖北卫视,http://110.183.49.185:808/hls/37/index.m3u8
湖南卫视,http://110.183.49.185:808/hls/21/index.m3u8
新疆卫视,http://110.183.49.185:808/hls/52/index.m3u8
青海卫视,http://110.183.49.185:808/hls/46/index.m3u8
甘肃卫视,http://110.183.49.185:808/hls/43/index.m3u8
宁夏卫视,http://110.183.49.185:808/hls/49/index.m3u8
陕西卫视,http://110.183.49.185:808/hls/41/index.m3u8
西藏卫视,http://110.183.49.185:808/hls/51/index.m3u8
四川卫视,http://110.183.49.185:808/hls/30/index.m3u8
重庆卫视,http://110.183.49.185:808/hls/38/index.m3u8
贵州卫视,http://110.183.49.185:808/hls/31/index.m3u8
云南卫视,http://110.183.49.185:808/hls/47/index.m3u8
深圳卫视,http://110.183.49.185:808/hls/35/index.m3u8
其它频道,#genre#
地方频道,#genre#
河北卫视,http://y8.318.run/php/hebei.php?id=hbws
河北经济,http://y8.318.run/php/hebei.php?id=hbjj
河北农民,http://y8.318.run/php/hebei.php?id=hbnm
河北都市,http://y8.318.run/php/hebei.php?id=hbds
河北影视,http://y8.318.run/php/hebei.php?id=hbys
河北少儿,http://y8.318.run/php/hebei.php?id=hbse
河北公共,http://y8.318.run/php/hebei.php?id=hbgg
石家庄新闻,http://nn.7x9d.cn/石家庄.php?id=4
石家庄城市,http://nn.7x9d.cn/石家庄.php?id=5
石家庄娱乐,http://nn.7x9d.cn/石家庄.php?id=6
鹿泉一套,http://y8.318.run/php/jy.php?id=lq1
鹿泉二套,http://y8.318.run/php/jy.php?id=lq2

